Date,Close,High,Low,Open,Volume,Ticker
1993-01-29,24.38043975830078,43.96875,43.75,43.96875,1003200,SPY
1993-02-01,24.55384063720703,44.25,43.96875,43.96875,480500,SPY
1993-02-02,24.605852127075195,44.375,44.125,44.21875,201300,SPY
1993-02-03,24.86595916748047,44.84375,44.375,44.40625,529400,SPY
1993-02-04,24.97002601623535,45.09375,44.46875,44.96875,531500,SPY
1993-02-05,24.95265769958496,45.0625,44.71875,44.96875,492100,SPY
1993-02-08,24.95265769958496,45.125,44.90625,44.96875,596100,SPY
1993-02-09,24.77925682067871,44.8125,44.5625,44.8125,122100,SPY
1993-02-10,24.813953399658203,44.75,44.53125,44.65625,379600,SPY
1993-02-11,24.93533706665039,45.125,44.78125,44.78125,19500,SPY
1993-02-12,24.744598388671875,44.875,44.59375,44.875,42500,SPY
1993-02-16,24.120330810546875,44.46875,43.40625,44.46875,374800,SPY
1993-02-17,24.102998733520508,43.53125,43.28125,43.46875,210900,SPY
1993-02-18,24.08565139770508,43.9375,42.8125,43.9375,378100,SPY
1993-02-19,24.172361373901367,43.5625,43.34375,43.40625,34900,SPY
1993-02-22,24.25906181335449,43.78125,43.5625,43.6875,513600,SPY
1993-02-23,24.241729736328125,43.875,43.46875,43.84375,373700,SPY
1993-02-24,24.55384063720703,44.25,43.71875,43.71875,26300,SPY
1993-02-25,24.605852127075195,44.375,44.125,44.21875,44500,SPY
1993-02-26,24.64055633544922,44.4375,44.1875,44.4375,66200,SPY
1993-03-01,24.571186065673828,44.5625,44.21875,44.5625,66500,SPY
1993-03-02,24.93533706665039,44.9375,44.25,44.3125,182400,SPY
1993-03-03,25.03937721252441,45.15625,44.9375,45.0,280100,SPY
1993-03-04,24.900659561157227,45.1875,44.875,45.1875,89500,SPY
1993-03-05,24.83129501342773,45.125,44.71875,44.9375,40000,SPY
1993-03-08,25.386173248291016,45.75,44.84375,44.84375,50800,SPY
1993-03-09,25.299474716186523,45.6875,45.5,45.65625,169300,SPY
1993-03-10,25.35149955749512,45.6875,45.40625,45.59375,194400,SPY
1993-03-11,25.28214454650879,45.84375,45.5,45.71875,70900,SPY
1993-03-12,25.02202796936035,45.21875,44.8125,45.1875,643600,SPY
1993-03-15,25.143421173095703,45.3125,45.0625,45.0625,310800,SPY
1993-03-16,25.143421173095703,45.4375,45.3125,45.3125,30800,SPY
1993-03-17,24.98737144470215,45.25,44.96875,45.25,21800,SPY
1993-03-18,25.143421173095703,45.5,45.21875,45.21875,59300,SPY
1993-03-19,25.10538482666016,45.28125,45.03125,45.28125,66900,SPY
1993-03-22,24.965984344482425,44.875,44.5625,44.59375,183400,SPY
1993-03-23,25.018259048461918,44.9375,44.8125,44.90625,55200,SPY
1993-03-24,25.018259048461918,45.0625,44.59375,44.8125,37200,SPY
1993-03-25,25.17506599426269,45.25,44.84375,44.90625,110100,SPY
1993-03-26,25.035680770874023,45.15625,44.875,45.125,101500,SPY
1993-03-29,25.14020347595215,45.3125,44.9375,44.9375,87100,SPY
1993-03-30,25.20989799499512,45.21875,45.09375,45.15625,56000,SPY
1993-03-31,25.192476272583008,45.46875,45.1875,45.34375,111600,SPY
1993-04-01,25.10538482666016,45.25,44.9375,45.25,129500,SPY
1993-04-02,24.582691192626957,44.65625,44.09375,44.65625,59400,SPY
1993-04-05,24.704668045043945,44.4375,44.1875,44.4375,172200,SPY
1993-04-06,24.634958267211918,44.40625,44.0625,44.40625,129700,SPY
1993-04-07,24.72206115722656,44.34375,44.15625,44.25,28000,SPY
1993-04-08,24.687232971191406,44.53125,44.09375,44.53125,180800,SPY
1993-04-12,25.035680770874023,44.9375,44.65625,44.71875,348500,SPY
1993-04-13,25.087953567504883,45.15625,44.84375,44.875,146100,SPY
1993-04-14,25.0531005859375,45.0625,44.90625,45.03125,119600,SPY
1993-04-15,25.0531005859375,45.03125,44.75,44.90625,148600,SPY
1993-04-16,25.0531005859375,45.03125,44.875,44.96875,47900,SPY
1993-04-19,24.948570251464844,45.0625,44.71875,44.9375,157000,SPY
1993-04-20,24.826616287231445,44.75,44.25,44.6875,279500,SPY
1993-04-21,24.80918312072754,44.625,44.375,44.625,67900,SPY
1993-04-22,24.49558448791504,44.6875,43.9375,44.3125,97700,SPY
1993-04-23,24.39105987548828,43.96875,43.6875,43.84375,106000,SPY
1993-04-26,24.199403762817383,43.9375,43.28125,43.78125,62600,SPY
1993-04-27,24.460737228393555,43.875,43.34375,43.34375,156800,SPY
1993-04-28,24.40846443176269,43.90625,43.71875,43.8125,85900,SPY
1993-04-29,24.513015747070312,43.96875,43.625,43.875,85000,SPY
1993-04-30,24.547853469848636,44.28125,44.03125,44.125,88500,SPY
1993-05-03,24.704668045043945,44.3125,43.90625,44.09375,80500,SPY
1993-05-04,24.79176521301269,44.625,44.34375,44.40625,149100,SPY
1993-05-05,24.861459732055664,44.75,44.46875,44.46875,109000,SPY
1993-05-06,24.774337768554688,44.5625,44.40625,44.53125,54700,SPY
1993-05-07,24.72206115722656,44.46875,44.28125,44.46875,68000,SPY
1993-05-10,24.774337768554688,44.6875,44.40625,44.40625,113900,SPY
1993-05-11,24.87886047363281,44.625,44.3125,44.4375,42600,SPY
1993-05-12,24.84402847290039,44.59375,44.4375,44.4375,31000,SPY
1993-05-13,24.547853469848636,44.375,44.0,44.375,129100,SPY
1993-05-14,24.530431747436523,44.15625,43.96875,44.03125,63500,SPY
1993-05-17,24.61753273010254,44.15625,43.9375,44.125,34000,SPY
1993-05-18,24.60010528564453,44.21875,43.96875,44.1875,105200,SPY
1993-05-19,25.10538482666016,45.03125,43.84375,44.125,50200,SPY
1993-05-20,25.17506599426269,45.15625,44.9375,45.03125,98200,SPY
1993-05-21,24.948570251464844,45.25,44.71875,45.1875,221400,SPY
1993-05-24,25.0531005859375,45.09375,44.84375,44.84375,30500,SPY
1993-05-25,25.10538482666016,45.125,45.03125,45.125,191800,SPY
1993-05-26,25.41896247863769,45.625,45.125,45.15625,102400,SPY
1993-05-27,25.33185577392578,45.65625,45.375,45.65625,53800,SPY
1993-05-28,25.20989799499512,45.40625,45.0,45.40625,79100,SPY
1993-06-01,25.453807830810547,45.8125,45.3125,45.375,28300,SPY
1993-06-02,25.41896247863769,45.75,45.34375,45.53125,20300,SPY
1993-06-03,25.33185577392578,45.5,45.34375,45.5,21600,SPY
1993-06-04,25.2447452545166,45.3125,45.09375,45.3125,32000,SPY
1993-06-07,25.157638549804688,45.375,45.125,45.375,121400,SPY
1993-06-08,24.9311466217041,45.0,44.71875,45.0,104500,SPY
1993-06-09,25.018259048461918,45.0625,44.8125,44.875,43300,SPY
1993-06-10,25.035680770874023,44.9375,44.75,44.84375,17900,SPY
